1---“八一”六十载---亲 
2---“七一”直抵花城---库 
3---“十三大”，改革之会，团结之会---奉 
4---“十一”双方皆怀念---喜 
5---“文昭关”选段---音 
6---“五一”厂里放影片---彦 
7---“五一”前夕何宽松---衙 
8---“西出阳关无故人”---笙 
9---“小”字加一撇，不作“少”字猜---赤 
10---《人生》上下集---佧 
11---20-2---槎 
12---３＋８---秸 
13---７８．３---柒 
14---阿里山小吃---饴 
15---爱将余热献光明---熹 
16---爱心几度付流水---沉 
17---爱心寄与笔底情---写 
18---爱友别离又相聚---受 
19---安敢裙钗换男装---宁 
20---安危抛脑后---脆 
21---安下心来读书---今 
22---安心度日---宴 
23---安心平凡工作---恐 
24---安心只为翻了身---总 
25---安阳风光---京 
26---安阳会子---鼹 
27---安阳即景---京 
28---俺大人不在---电 
29---岸---滂 
30---八尺龙头---咫 
31---八尺龙须---荨 
32---八达岭---兵 
33---八方归心---总 
34---八方援助受灾人---熔 
35---八方支援前线---织 
36---八哥---兑 
37---八哥的传说---言 
38---八哥偏心---悦 
39---八哥守门---阅 
40---八哥学舌---说 
41---八卦山之春---根 
42---八角楼旁水相连---淞 
43---八戒大怒---氦 
44---八戒行者随长老---狮 
45---八九不离十---杂 
46---八九不离十---杂 
47---八九点钟的太阳---晨 
48---八君子---羌 
49---八骏随天子---玛 
50---八连战士---丘 
51---八千里峰峦横隔，三十年心系故乡---秉 憧 
52---八千子弟兵---翠 
53---八千子弟兵---翠 
54---八声甘州---箫 
55---八十八---米 
56---八兄弟同赏月　　 ---脱 
756---汾水横流映残月　　 ---忿 
757---份量不足　　 ---欣 
758---奋力合作夺冠　　 ---男 
759---丰收在望　　 ---稿 
760---丰衣足食　　 ---裕 
761---风吹草低见牛羊　　 ---蓄 
762---风吹草低见牛羊　　 ---蓄 
763---风光旖旎蝶双来　　 ---蠢 
764---风里来，雨里去，一蒿相助　　 ---希 
765---风里走，雨里去，孑然一身　　 ---佩 
766---风流朋友半绝交　　 ---淆 
767---风雨空中雁阵斜　　 ---佩 
768---风雨前头夜归迟　　 ---夙 
769---风中点残烛　　 ---蚁 
770---风中空候立终宵　　 ---夙 
771---封面　　 ---颇 
772---封山育林　　 ---困 
773---冯Ｏ为何再弹铗　　 ---软 
774---凤　　 ---鸭 
775---凤冠　　 ---几 
776---佛殿有佛无人拜　　 ---弗 
777---夫妻对泣　　 ---器 
778---夫妻恩爱二十载　　 ---莒 
779---夫妻双双把家还　　 ---闾 
780---夫人何处去　　 ---二 
781---夫人一去不复还　　 ---丕 
782---夫人一去三十载　　 ---奔 
783---凫　　 ---淮 
784---扶二人上车　　 ---撵 
785---扶老携幼　　 ---雀 
786---拂晓姑娘来　　 ---妲 
787---服装展览　　 ---裂 
788---斧头　　 ---父 
789---斧头把手已脱落　　 ---爸 
790---俯首甘为孺子牛　　 ---件 
791---父女相会共丹心　　 ---姣 
792---付诸东流　　 ---信 
793---妇科病　　 ---嫉 
794---复习　　 ---羽 
795---富士山下　　 ---画 
796---该省则省　　 ---刻 
797---甘心独自归　　 ---廿 
798---甘心去当配角　　 ---世 
799---干部调配　　 ---障 
800---干戈一别到异乡　　 ---绒 
801---干嚎　　 ---渺 
802---干劲冲天在前头　　 ---半 
803---干了酒已是黄昏时候　　 ---酉 
804---干涉　　 ---步 
805---干涉　　 ---步 
806---干校生　　 ---管 
807---干在前，谋利在后　　 ---刊 
808---干在前头　　 ---平 
809---干在前头，还须严字当头　　 ---釜 
810---干燥剂　　 ---法 
811---刚被太阳收拾去　　 ---早 
812---刚满一斤　　 ---博 
813---刚去莆田遇雨来　　 ---蕾 
814---刚想放下心，毛笔又丢了　　 ---箱 
815---高低音调八人和　　 ---煜 
816---高尔基　　 ---尚 
817---高空山山无云层　　 ---窟 
818---高树矮树留下来　　 ---棵 
819---高温季节　　 ---淳 
820---戈壁滩上一棵草　　 ---莎 
821---戈壁滩上一棵草　　 ---莎 
822---个个不沾油水　　 ---笛 
823---个个参加射箭　　 ---前 
824---个个参加运动会　　 ---云 
825---个个到延安　　 ---筵 
826---个个都来管　　 ---官 
827---个个都是节俭人　　 ---签 
828---个个汗水直流　　 ---竺 
829---个个会打曲棍球　　 ---等 
830---个个见了开口笑　　 ---吞 
831---个个见了笑　　 ---夭 
832---个个节约自来水　　 ---箔 
833---个个另作安排　　 ---笳 
834---个个入笼　　 ---龙 
835---个个同心助他人　　 ---答 
836---个个为节能出力　　 ---筋 
837---个个一见即捧腹　　 ---大 
838---个个以一当十　　 ---竿 
839---个个招工到贵阳　　 ---凡 
840---个人简历　　 ---使 
841---个人依靠集体　　 ---本 
842---个人与个人，分工又合作　　 ---筮 
843---个人与集体　　 ---本 
844---个体承包　　 ---因 
845---各奔前程　　 ---扮 
846---各不相让　　 ---筝 
847---各得了一个十环　　 ---略 
848---各方合作　　 ---咯 
849---各自东西流　　 ---汾 
850---更无人倚玉栏杆　　 ---琦 
851---更著风和雨　　 ---汽 
852---工部来春始扬名　　 ---埔 
853---工人个个要团结　　 ---笑 
854---工人团结紧，齐向党中央　　 ---吴 
855---工人团结如一家　　 ---娱 
856---工人知巧作安排　　 ---喉 
857---工资调整一次排出　　 ---贡 
858---工作大变样　　 ---全 
859---工作为公应称颂　　 ---项 
860---弓　　 ---娟 
861---弓弦搭箭　　 ---矧 
862---弓弦落在草田中　　 ---蓄 
863---弓砚缘　　 ---斌 
864---公尺　　 ---来 
865---公而忘私　　 ---八 
866---公而忘私启后人　　 ---谷 
867---公字当头应推广　　 ---兴 
868---公字当头应推广　　 ---兴 
869---功字前面频让步　　 ---项 
870---宫　　 ---琚 
871---巩固冀中---保住苏北---攻克湘东　　 ---瞄 
872---巩固前沿　　 ---涸 
873---巩固中原根据地　　 ---楮 
874---拱手让人　　 ---共 
875---共此灯烛光　　 ---焱 
876---共二斤　　 ---斯 
877---共回头把手招　　 ---拼 
878---共建江西意义大　　 ---洪 
879---共去空中揽日月　　 ---腊 
880---共三十六夜　　 ---梦 
881---共食不饱　　 ---我 
882---共同安排离间计　　 ---调 
883---共同的期望　　 ---月 
884---共同等候在梅前　　 ---棋 
885---共同复习　　 ---翕 
886---共同改变旧体制　　 ---黄 
887---共有白云心　　 ---其 
888---佝偻　　 ---躬 
889---狗洞　　 ---突 
890---狗仗人势　　 ---伏 
891---孤帆半隐江水流　　 ---巩 
892---孤月高悬轩窗上，双星低垂翠楼前　　 ---翻 
893---古币　　 ---错 
894---古来江左一轮圆　　 ---湖 
895---古来征战几人回　　 ---笑 
896---古梅半放人相偎　　 ---保 
897---古钱串起缺一枚　　 ---南 
898---古桥错映留残红　　 ---嗦 
899---古尸解剖　　 ---剧 
900---古寺倚修竹　　 ---等 
901---古台之下草自生　　 ---莒 
902---古田改革旧貌改　　 ---茴 
903---古调　　 ---田 
904---古稀回归故园中　　 ---辕 
905---古稀人格在　　 ---哗 
906---古稀犹画眉　　 ---鸨 
907---古稀之年垂钓钩　　 ---轧 
908---古稀之年雄心在　　 ---华 
909---古稀之翁传佳话，点滴助人谱新篇　　 ---烨 
910---古运河畔　　 ---沽 
911---古运河畔新月影　　 ---活 
912---谷　　 ---季 
913---故乡　　 ---野 
914---瓜熟蒂落　　 ---爪 
915---刮骨疗毒　　 ---谬 
916---鳏寡孤独　　 ---合 
917---光明在前需努力　　 ---肋 
918---广寒宫　　 ---臀 
919---广寒宫上度重阳　　 ---胃 
920---广寒买酒见微山　　 ---湖 
921---广积粮　　 ---饨 
922---广结慧心人　　 ---庚 
923---广阔天地，大有作为　　 ---庆 
924---广植草和树　　 ---麻 
925---广州在眼前　　 ---着 
926---归帆西来　　 ---帅 
927---归鸿云头过，飞入缺月中　　 ---夷 
928---归来黄耳报平安　　 ---狞 
929---归去来辞　　 ---皈 
930---归卧南山陲　　 ---岿 
931---归雁洛阳边　　 ---洇 
932---闺阁　　 ---姹 
933---闺中人侧立　　 ---佳 
934---闺中少女　　 ---娃 
935---桂花重开放　　 ---馥 
936---桂林宜人处，不在林木间　　 ---佳 
937---国际妇女大团结　　 ---姻 
938---国内劳动力输出　　 ---莹 
939---国庆巧逢八月半　　 ---均 
940---果　　 ---楞 
941---果断有力　　 ---男 
942---过春节　　 ---时 
943---海枯　　 ---每 
944---海棠开后残梅落　　 ---淌 
945---海味山珍　　 ---鲜 
946---海峡两岸今团聚　　 ---涔 
947---汉寿侯独挡阵前　　 ---掷 
948---旱　　 ---泛 
949---旱天雷　　 ---田 
950---颔　　 ---吓 
951---行不得也哥哥　　 ---竞 
952---行行重行行　　 ---兖 
953---行乐须及春　　 ---栎 
954---行人弓箭各在腰　　 ---夷 
955---行水入海流　　 ---毓 
956---行者留信　　 ---储 
957---行者休于树　　 ---公 
958---行舟却遇水纵横　　 ---愆 
959---好榜样，在前头　　 ---婪 
960---号召上下用心改革　　 ---啁 
961---禾高没了人　　 ---千 
962---禾苗脱颖而出　　 ---顷 
963---合二而一　　 ---面 
964---合金小挂锁　　 ---贝 
965---合十　　 ---拼 
966---合十而坐　　 ---丛 
967---合十见如来　　 ---姑 
968---合纵连横　　 ---舍 
969---合纵连横　　 ---舍 
970---合纵连横千古在　　 ---舌 
971---何处觅芳踪　　 ---荷 
972---何需杀人灭口　　 ---丁 
973---和哥哥度“六一”　　 ---竞 
974---和局　　 ---抨 
990---河边一棵弯头树　　 ---滦 
976---河灯半明灭　　 ---汀 
977---褐衣破落，羞丑难遮　　 ---羯 
978---恨其把心变　　 ---恳 
979---横斜枝乱划参差　　 ---著 
980---烘云托月　　 ---育 
981---红边黄盖蓝底白字　　 ---蕴 
982---红了樱桃　　 ---哧 
983---红梅半放　　 ---繁 
984---红娘　　 ---姝 
985---后半部续前半部　　 ---陪 
986---后备不足前功尽弃　　 ---务 
987---后发制人　　 ---仅 
988---后悔村前曾相会　　 ---梅 
989---后悔年初阔别去　　 ---母 
990---后来居上　　 ---尺 
991---后来者居上　　 ---屠 
992---后来者居上　　 ---屠 
993---后勤上前方　　 ---另 
994---后遗症　　 ---瘤 
995---狐裘　　 ---被 
996---胡心岛下横山隐　　 ---鸪 
997---湖边新月照台前　　 ---泓 
998---湖区古迹少，造林重安排　　 ---潸 
999---湖中浮萍　　 ---苦 
1000---虎跑泉　　 ---演 
1001---户外星光映叠峦　　 ---屈 
1002---花残犹散二分香　　 ---稽 
1003---花草掩映独木桥　　 ---荣 
1004---花落明年依旧开　　 ---馥 
1005---花落人亡两不知　　 ---七 
1006---划分三种人　　 ---何 
1007---华沙姑娘　　 ---婆 
1008---化却冰冻柳新生　　 ---栋 
1009---画中包头　　 ---甸 
1010---画中人侧立　　 ---佃 
1011---怀古西江月　　 ---湖 
1012---环山草色映秋波　　 ---瞄 
1013---幻觉　　 ---觑 
1014---换岗　　 ---便 
1015---皇城根儿　　 ---享 
1016---皇袍　　 ---袭 
1017---黄河由此水可清　　 ---共 
1018---黄昏前后　　 ---昔 
1019---黄昏时节雨滴疏　　 ---酒 
1020---黄梅天　　 ---零 
1021---蝗　　 ---豁 
1022---挥泪各东西　　 ---浑 
1023---挥手告别　　 ---军 
1024---回顾莆田三十载　　 ---哺 
1025---回来团圆　　 ---贝 
1026---回来作一点调查　　 ---檀 
1027---回心转意太原来　　 ---姘 
1028---会当凌绝顶　　 ---云 
1029---会后勿要说　　 ---人 
1030---会流于海水去悠悠　　 ---毓 
1031---会上一致同意　　 ---奇 
1032---会说话的眼睛　　 ---冒 
1033---喙　　 ---噙 
1034---昏头昏脑　　 ---氏 
1035---火箭　　 ---矩 
1036---火烧横山　　 ---灵 
1037---火烧横山半毁林　　 ---棂 
1038---火腿　　 ---人 
1039---饥不择食　　 ---几 
1040---机床出厂展新容　　 ---梵 
1041---机动　　 ---朵 
1042---机构变动　　 ---朵 
1043---机构改革　　 ---朵 
1044---机构改革刚开始　　 ---剁 
1045---鸡长角　　 ---酋 
1046---积累点点滴滴，写成上集下集　　 ---樵 
1047---激情奔放情难留　　 ---泊 
1048---激战之前　　 ---沾 
1049---及第争先　　 ---闩 
1050---及早自立谱新篇　　 ---章 
1051---吉普在奔驰　　 ---辆 
1052---集合号　　 ---韶 
1053---几处小桥流水　　 ---沉 
1054---几处早争暖树　　 ---枭 
1055---几处早争暖树　　 ---栩 
1056---几点残红　　 ---巩 
1057---几点残红落幽篁　　 ---筑 
1058---几点飞雁横斜　　 ---伉 
1059---几点工作　　 ---巩 
1060---几点画帆带晚红　　 ---蛩 
1061---几点细雨滴滴金　　 ---湫 
1062---几点细雨入秋来　　 ---湫 
1063---几点细雨湿梅花　　 ---漉 
1064---几点雁横塞　　 ---亢 
1065---几度暗香来　　 ---秃 
1066---几度芳心盼雁归　　 ---伉 
1067---几朵分离又重逢　　 ---桑 
1068---几回临水方离别　　 ---沿 
1069---几可乱真　　 ---租 
1070---几片残云落城西　　 ---垒 
1071---几片残云缀空中　　 ---垒 
1072---己巳年末庚午头　　 ---驼 
1073---记者为人浑忌己　　 ---储 
1074---祭江　　 ---湃 
1075---寄人篱下　　 ---禽 
1076---加工出口　　 ---功 
1077---加加减减　　 ---圭 
1078---加另减减得十分　　 ---封 
1079---加一点有四边　　 ---方 
1080---佳节又重阳　　 ---倡 
1081---佳节又重阳　　 ---倡 
1082---家庭商场　　 ---闹 
1083---夹道春临花弄影　　 ---楷 
1084---夹生饭　　 ---炊 
1085---甲乙丙丁　　 ---楠 
1086---价格减半　　 ---休 
1087---稼轩选集　　 ---秆 
1088---稼轩自传　　 ---辩 
1089---尖端　　 ---小 
1090---兼顾　　 ---盼 
1091---减肥茶　　 ---杷 
1092---见到子离方悟觉　　 ---学 
1093---见人就笑　　 ---竺 
1094---涧水流终日　　 ---门 
1095---江边残月映长安　　 ---涨 
1096---江边放马伴停云　　 ---浒 
1097---江边就是王家门　　 ---润 
1098---江边老树枝已秃　　 ---澍 
1099---江边留半影，纵横结相思　　 ---澎 
1100---江边柳畔迎来客　　 ---溧 
1101---江边树里共谁来　　 ---汉 
1102---江边一月照画中　　 ---渭 
1103---江滨一曲寄相思　　 ---澧 
1104---江东一别耳，悠然西北行　　 ---憨 
1105---江东一战息干戈　　 ---玷 
1106---江帆半掩入篁影　　 ---筑 
1107---江河东去晓星沉　　 ---浇 
1108---江畔朝阳　　 ---汨 
1109---江畔逗留望雁飞　　 ---泾 
1110---江畔孤舟溅浪花　　 ---沁 
1111---江畔轻舟穿浪行　　 ---沁 
1112---江畔日出花影重　　 ---混 
1113---江畔杨柳杜鹃鸣　　 ---潸 
1114---江上落残梅　　 ---杠 
1115---江水流　　 ---工 
1116---江水南流　　 ---汞 
1117---江水往下流　　 ---汞 
1118---江水真下侧帆过　　 ---巩 
1119---江头潮已平　　 ---工 
1120---江西变化马飞腾　　 ---滕 
1121---江西电大　　 ---淹 
1122---江西分行　　 ---衍 
1123---江西来了东北人　　 ---漆 
1124---江西木偶　　 ---淋 
1125---江西省变了样　　 ---渺 
1126---江西省开放　　 ---弄 
1127---江左残月上矣　　 ---泓 
1128---江左当前明月归　　 ---消 
1129---将相和　　 ---斌 
1130---姜姑娘变了心　　 ---恙 
1131---匠心独运竟出错　　 ---区 
1132---交换思想　　 ---惕 
1133---交易所　　 ---阅 
1134---脚　　 ---促 
1135---皆大欢喜　　 ---筷 
1136---接连两球落点刁　　 ---羽 
1137---街心流水洗尘埃　　 ---衍 
1138---节日晚会露一手　　 ---挽 
1139---节日有闲心　　 ---杳 
1140---节日有鱼　　 ---鲁 
1141---节水节电意义大　　 ---淹 
1142---节约点滴人人有责　　 ---箦 
1143---节约动力　　 ---云 
1144---节约开支上下动员　　 ---喷 
1145---节约一点过好日子　　 ---绚 
1146---节约应归本人　　 ---小 
1147---节奏分明　　 ---春 
1148---借才生财　　 ---贝 
1149---巾帼逞威　　 ---戌 
1150---巾帼乒乓九压冠　　 ---婶 
1151---巾帼英雄　　 ---好 
1152---今朝面貌改　　 ---萌 
1153---今南方已定　　 ---含 
1154---今其室十无四五焉　　 ---闩 
1155---今日把相思投正　　 ---鼓 
1156---今日四方成一统　　 ---晗 
1157---今日相逢在前哨　　 ---晗 
1158---今天大扫除　　 ---一 
1159---金木水火　　 ---坎 
1160---金钱在旁边，滴水不沾边　　 ---镝 
1161---金永年　　 ---铸 
1162---尽是缺点　　 ---尺 
1163---进口连衣裙　　 ---尹 
1164---进门就闹　　 ---市 
1165---近朱者赤　　 ---赫 
1166---禁止通行　　 ---赵 
1167---泾渭不可求　　 ---洽 
1168---经济支援　　 ---锄 
1169---荆公欠安上表来　　 ---碧 
1170---精简机构　　 ---林 
1171---井下作业　　 ---空 
1172---镜中朱颜改　　 ---耋 
1173---九点　　 ---丸 
1174---九点八点七点　　 ---染 
1175---九点共圆　　 ---丸 
1176---九九八十一　　 ---皋 
1177---九九表　　 ---柏 
1178---九九归一跟我走　　 ---百，途 
1179---九九话重阳　　 ---课 
1180---九九艳阳天　　 ---椿 
1181---九九重阳　　 ---果 
1182---九九重阳　　 ---相 
1183---九九重阳　　 ---桓 
1184---九九重阳逢阴雨　　 ---霖 
1185---九九重阳细雨斜　　 ---彬 
1186---九里多一点　　 ---丸 
1187---九男九女　　 ---柯 
1188---九十九　　 ---白 
1189---九十九　　 ---白 
1190---九十九公尺　　 ---粕 
1191---九十九立方寸　　 ---怕 
1192---九时十分　　 ---辱 
1193---九星会聚　　 ---丸 
1194---九月尚流汗　　 ---泫 
1195---九月象限　　 ---畜 
1196---九月重阳　　 ---畜 
1197---九月重阳蝴蝶飞　　 ---蓄 
1198---九月重阳菊放开　　 ---蓄 
1199---九月重阳菊花后　　 ---蓄 
1200---九重春色　　 ---婪 
1201---九重春色画中看　　 ---棵 
1202---九重春色落西郊　　 ---郴 
1203---九重天　　 ---杳 
1204---九重天上　　 ---杠 
1205---九重天上逢故人　　 ---魅 
1206---九重天上一钩斜　　 ---香 
1207---九重之渊　　 ---沐 
1208---九州送春归　　 ---桦 
1209---久旱逢甘霖　　 ---汗 
1210---久雷不雨　　 ---田 
1211---酒不沾边　　 ---酉 
1212---酒香淌尽已黄昏　　 ---酥 
1213---旧貌变新颜　　 ---旦 
1214---旧貌变新颜　　 ---旦 
1215---旧貌一改便转业　　 ---晋 
1216---旧貌已改放宽心　　 ---昔 
1217---旧时离别日，把手欲语迟　　 ---寺 
1218---旧体制一改事业翻身　　 ---晋 
1219---厩　　 ---驴 
1220---居心不善　　 ---亚 
1221---巨　　 ---奕 
1222---俱往矣　　 ---篱 
1223---俱往矣　　 ---篱 
1224---捐弃前嫌　　 ---兼 
1225---涓涓细流润心田　　 ---汁 
1226---卷首语　　 ---誉 
1227---决命争首　　 ---次 
1228---军阀重开战　　 ---戏 
1229---军民亲如一家人　　 ---渔 
1230---君不君臣不臣　　 ---巨 
1231---开放搞活创出高水平　　 ---括 
1232---开荒　　 ---壁 
1233---开口儿　　 ---匹 
1234---开渠送水放木排　　 ---巨 
1235---开山造田　　 ---画 
1236---开石矿承包　　 ---庖 
1237---开始时属于左，最后时属于右　　 ---孩 
1238---开业获大利　　 ---剩 
1239---开源节流是根本　　 ---源 
1240---看家狗　　 ---戾 
1241---看礼花　　 ---睬 
1242---看似小人超大人　　 ---久 
1243---糠　　 ---裕 
1244---考虑不周　　 ---崽 
1245---考试前一天　　 ---诸 
1246---拷边竞赛　　 ---批 
1247---可上可下　　 ---哥 
1248---可省则省　　 ---员 
1249---克日取胜　　 ---腥 
1250---空将泪眼伴孤灯　　 ---汀 
1251---空空道人　　 ---诸 
1252---空口谈和，且搁一边　　 ---租 
1253---空山二度觅幽兰　　 ---兹 
1254---空山里面有口井　　 ---曲 
1255---空山之中一亩田　　 ---画 
1256---空匣藏箭　　 ---医 
1257---空中飞人　　 ---会 
1258---孔雀　　 ---鹂 
1259---孔雀东南飞　　 ---孙 
1260---孔雀东南飞　　 ---孙 
1261---孔雀开屏　　 ---翅 
1262---孔子登山　　 ---岳 
1263---口而诵　　 ---访 
1264---口耳能够兼用　　 ---啊 
1265---口号团结一条心　　 ---愕 
1266---口角当在此间生　　 ---嘴 
1267---口若悬河　　 ---训 
1268---口头奉承　　 ---邑 
1269---口味不分　　 ---昧 
1270---口占　　 ---讣 
1271---扣门无犬吠　　 ---启 
1272---枯泉　　 ---白 
1273---夸大其辞　　 ---亏 
1274---亏得双方见一面　　 ---颚 
1275---亏得双方有心　　 ---愕 
1276---亏得双方有言在先　　 ---谔 
1277---亏得双方又重逢，花前月下再相会　　 ---萼，腭 
1278---亏空一定要弥补　　 ---窍 
1279---亏损一，得来八　　 ---兮 
1280---坤角青衣　　 ---妲 
1281---困难之中两相依　　 ---休 
1282---扩大联合不留一手　　 ---庆 
1283---蜡炬成灰　　 ---目 
1284---辣椒入口　　 ---辞 
1285---来日初三逢立春　　 ---人 
1286---来日是大暑　　 ---奢 
1287---来世犹存木石盟　　 ---碟 
1288---来信看一半体会已十分　　 ---谢 
1289---浪子回头是岸　　 ---良 
1290---老虎昂道隐茅下　　 ---蟆 
1291---老两口一定来　　 ---嗜 
1292---老山东搬家　　 ---鳍 
1293---老山东新面貌　　 ---鳍 
1294---老树依然姿未减，枝头斜出一杈生　　 ---橱 
1295---老头儿属鸡　　 ---酵 
1296---老头子　　 ---孝 
1297---老赵走了　　 ---肖 
1298---老子出关　　 ---联 
1299---老子高高在上　　 ---交 
1300---老子其犹龙乎　　 ---聋 
1301---乐平拿手　　 ---毳 
1302---乐天派　　 ---泉 
1303---了却一个心愿　　 ---原 
1304---磊　　 ---碜 
1305---泪水干，泪水流，难分离，紧拉手　　 ---攫 
1306---类人猿　　 ---伸 
1307---楞　　 ---噪 
1308---礼貌待人　　 ---儆 
1309---李世民　　 ---瑭 
1310---李自成河边落马　　 ---润 
1311---里头有人　　 ---困 
1312---理解万岁　　 ---里 
1313---力除执行不法　　 ---势 
1314---力可以得天下　　 ---夯 
1315---力求东西方合作　　 ---咖 
1316---力入度穴驱虎子　　 ---瞄 
1317---力争产品出口　　 ---咖 
1318---力争两个月完成　　 ---筋 
1319---历来好出力，与人鸣不平　　 ---仄 
1320---立定　　 ---趾 
1321---立根原在破岩中　　 ---一 
1322---立根原在破岩中　　 ---一 
1323---立即动员　　 ---赔 
1324---立脚西北，巩固晋南；挺进湘中　　 ---桓 
1325---立马昆仑　　 ---缶 
1326---立身本高洁　　 ---侦 
1327---立身有道十分需要　　 ---谢 
1328---立身正直抵歪风　　 ---躯 
1329---立雄心方能翻番　　 ---倍 
1330---立愚公志只消一夕　　 ---秽 
1331---立足改革　　 ---踢 
1332---立足于机构改革　　 ---跺 
1333---连帽衣　　 ---农 
1334---连日开展竞赛　　 ---毗 
1335---连体婴　　 ---夫 
1336---帘上残月映重山　　 ---窟 
1337---镰　　 ---利 
1338---良药苦口　　 ---痢 
1339---凉风习习入户来　　 ---扇 
1340---两岸同根　　 ---开 
1341---两丁抽一　　 ---丙 
1342---两对手　　 ---掇 
1343---两个半月　　 ---羽 
1344---两口子同入京　　 ---禀 
1345---两千里　　 ---冯 
1346---两人同去一人归　　 ---丙 
1347---两人一个妈妈　　 ---侮 
1348---量粮器　　 ---料 
1349---辽阔的土地　　 ---庄 
1350---列车出轨人安在　　 ---仇 
1351---林　　 ---树 
1352---林木参差入画中　　 ---棵 
1353---林木森森　　 ---杂 
1354---林远山横顶，江平月似钩　　 ---慧 
1355---另有变动　　 ---加 
1356---刘备双剑　　 ---剂 
1357---留下残红伴流水　　 ---漯 
1358---柳暗花明　　 ---树 
1359---柳絮舞东风，阳光照首都　　 ---影 
1360---柳眼半舒聊见否　　 ---相 
1361---柳眼半舒卿见否　　 ---相 
1362---柳枝折送西江畔　　 ---溜 
1363---六出翻飞落四方　　 ---啻 
1364---六桥如画隔远芳　　 ---蒡 
1365---六桥如画艳阳里　　 ---冥 
1366---六桥夕照映秋波　　 ---暝 
1367---六桥掩映寄芳心　　 ---蒡 
1368---龙袍　　 ---裙 
1369---龙游浅水　　 ---溽 
1370---龙舟泛荡水涟滟　　 ---巡 
1371---龙舟竞渡　　 ---巡 
1372---楼前只见月当头　　 ---梢 
1373---卢前王后　　 ---上 
1374---论长论短莫多言　　 ---仑 
1375---萝卜外销出东都　　 ---薯 
1376---落点刁　　 ---习 
1377---落花流水　　 ---各 
1378---落日楼头，断鸿声里　　 ---渣 
1379---落日余晖　　 ---晃 
1380---吕后当晚召韩信　　 ---茗 
1381---吕后当晚召韩信　　 ---茗 
1382---吕蒙临水安营　　 ---荥 
1383---马到芦边草不生　　 ---驴 
1384---马放南山　　 ---缶 
1385---马耕田　　 ---牮 
1386---马关条约　　 ---杵 
1387---马后王横　　 ---群 
1388---马厩　　 ---闯 
1389---马路旁走应靠右　　 ---骆 
1390---马年树难心　　 ---仵 
1391---马前泼水　　 ---汜 
1392---马前泼水，一点难收　　 ---冯 
1393---马前子二两　　 ---辍 
1394---马入空山快前行　　 ---缺 
1395---马入空山泪双流　　 ---罂 
1396---马上带头改革　　 ---芭 
1397---马上行动　　 ---连 
1398---马上行动　　 ---起 
1399---马上来　　 ---轾 
1400---马上留个影　　 ---笃 
1401---马上上去　　 ---圯 
1402---马上相逢拱手别　　 ---巽 
1403---马踏岚岭峰　　 ---缶 
1404---马蹄冷落断桥下　　 ---杰 
1405---马尾长在脖子上　　 ---丐 
1406---马占山　　 ---缶 
1407---满汉全席　　 ---妩 
1408---忙得心底不知所以　　 ---忘 
1409---毛遂自荐　　 ---衙 
1410---矛　　 ---豫 
1411---冒尖户　　 ---间 
1412---没有恒心一无所成　　 ---旦 
1413---没有马骑用年代　　 ---犄 
1414---没有真心真意，不要胡口胡吹　　 ---歆 
1415---眉月一直上云端　　 ---丢 
1416---眉月枝头花弄影　　 ---乘 
1417---梅花林　　 ---麓 
1418---每天一歌　　 ---曹 
1419---美好开端　　 ---姜 
1420---美中不足　　 ---干 
1421---门　　 ---启 
1422---门　　 ---启 
1423---门对浙江湖　　 ---沪 
1424---门可罗雀　　 ---扇 
1425---门可罗雀　　 ---雇 
1426---门空烛暗一念泯　　 ---闽 
1427---门里梁下有鸟栖　　 ---鹇 
1428---门里梁下有鸟栖　　 ---鹇 
1429---门内无犬吠　　 ---问 
1430---门前残红掩疏篱　　 ---编 
1431---门前握手，客来脱帽　　 ---搁 
1432---门前溪水映朝阳　　 ---涧 
1433---门前织篱开芍药　　 ---编 
1434---门绕疏篱绿半依　　 ---编 
1435---门虽设而常关　　 ---才 
1436---门外桃花护短篱　　 ---骗 
1437---门外筑围墙，门中装铁栏　　 ---匾 
1438---萌动　　 ---朝 
1439---孟秋七月　　 ---箱 
1440---迷信害死人　　 ---谜 
1441---谜底有水就错　　 ---淆 
1442---谜格　　 ---唬 
1443---苗头不对　　 ---艾 
1444---篾　　 ---簸 
1445---民歌十八首　　 ---枫 
1446---民间疗法　　 ---坊 
1447---民主还要多一点　　 ---珉 
1448---名下无虚士　　 ---吉 
1449---明日阴有小雨　　 ---霄 
1450---明天隐高树　　 ---杳 
1451---明天月全食　　 ---昊 
1452---明月当空　　 ---日 
1453---明月几时有　　 ---胖 
1454---明月西移挂天边　　 ---胆 
1455---明月逐人归　　 ---因 
1456---莫把金针度与人　　 ---木 
1457---莫愁湖边走　　 ---姑 
1458---莫道浮云终蔽日　　 ---昙 
1459---莫等日落近黄昏　　 ---暮 
1460---莫叫踏碎琼瑶　　 ---掮 
1461---莫下手　　 ---摹 
1462---默算　　 ---懈 
1463---木耳出口　　 ---楫 
1464---木落残秋山欲睡　　 ---棂 
1465---木乃伊　　 ---居 
1466---木偶　　 ---林 
1467---木偶皇后　　 ---琳 
1468---木偶奇遇　　 ---森 
1469---木水火土　　 ---钦 
1470---目空一切　　 ---暂 
1471---拿出手进盅　　 ---盒 
1472---乃独生儿　　 ---兀 
1473---乃服衣裳　　 ---尚 
1474---乃后起之秀　　 ---禾 
1475---乃知一念静　　 ---潇 
